,periódicos,scielo_url,publicador,status,revista brasileira?,identificador
32,Brazilian Archives of Biology and Technology ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1516-8913&lng=en,Instituto de Tecnologia do Paraná - Tecpar,current,sim,1516-8913
33,Brazilian Journal of Biology ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1519-6984&lng=en,Instituto Internacional de Ecologia,current,sim,1519-6984
34,Brazilian Journal of Infectious Diseases ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-8670&lng=en,Brazilian Society of Infectious Diseases,current,sim,1413-8670
35,Brazilian Journal of Medical and Biological Research ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-879X&lng=en,Associação Brasileira de Divulgação Científica,current,sim,0100-879X
36,Cadernos de psicanálise (Rio de Janeiro) ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1413-6295&lng=en,Círculo Psicanalítico do Rio de Janeiro,current,sim,1413-6295
37,Caldasia ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0366-5232&lng=en,"Instituto de Ciencias Naturales, Facultad de Ciencias-Universidad Nacional de Colombia",current,não,0366-5232
38,Ciência e Cultura ,http://cienciaecultura.bvs.br/scielo.php?script=sci_serial&pid=0009-6725&lng=en,Sociedade Brasileira para o Progresso da Ciência,current,sim,0009-6725
39,CienciaUAT ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-7858&lng=en,Universidad Autónoma de Tamaulipas,current,não,2007-7858
40,Clean Air Journal ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2410-972X&lng=en,National Association for Clean Air,current,não,2410-972X
41,Colombia Forestal ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-0739&lng=en,"Proyecto Curricular de Ingeniería Forestal, Facultad del Medio Ambiente y Recursos Naturales, Universidad Distrital Francisco José de Caldas.",current,não,0120-0739
42,Crop Breeding and Applied Biotechnology ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1984-7033&lng=en,Crop Breeding and Applied Biotechnology,current,sim,1984-7033
43,Cuadernos de Investigación UNED ,http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=1659-4266&lng=en,Universidad Estatal a Distancia de Costa Rica,current,não,1659-4266
44,Cuadernos Hospital de Clínicas ,http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=1652-6776&lng=en,"Universidad Mayor de San Andrés, Facultad de Medicina",current,não,1652-6776
45,Curationis ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2223-6279&lng=en,Democratic Nursing Organisation of South Africa (DENOSA),current,não,2223-6279
46,Current Ethology ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=2594-9985&lng=en,Sociedade Brasileira de Etologia,current,sim,2594-9985
47,Ecología Aplicada ,http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=1726-2216&lng=en,Universidad Nacional Agraria La Molina. Departamento Académico de Biología,current,não,1726-2216
48,Ecología en Bolivia ,http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=1605-2528&lng=en,Plural Editores,current,não,1605-2528
49,Ecosistemas y recursos agropecuarios ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-9028&lng=en,"Universidad Juárez Autónoma de Tabasco, Dirección de Investigación y Posgrado",current,não,2007-9028
50,Educación química ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-893X&lng=en,"Universidad Nacional Autónoma de México, Facultad de Química",current,não,0187-893X
51,Entreciencias: diálogos en la sociedad del conocimiento ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-8064&lng=en,"Universidad Nacional Autónoma de México, Escuela Nacional de Estudios Superiores Unidad León",current,não,2007-8064
52,Gayana (Concepción) ,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-6538&lng=en,"Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción",current,não,0717-6538
53,Gayana. Botánica ,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-6643&lng=en,"Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción",current,não,0717-6643
54,Genetics and Molecular Biology ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1415-4757&lng=en,Sociedade Brasileira de Genética,current,sim,1415-4757
55,Gerais : Revista Interinstitucional de Psicologia ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1983-8220&lng=en,"Universidade Federal de São João del-Rei, Universidade Federal de Minas Gerais e Universidade Federal de Uberlândia.",current,sim,1983-8220
56,Health SA Gesondheid (Online) ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2071-9736&lng=en,AOSIS Publishing on behalf of University of Johannesburg,current,não,2071-9736
57,Hoehnea ,http://www.scielo.br/scielo.php?script=sci_serial&pid=2236-8906&lng=en,Instituto de Botânica,current,sim,2236-8906
58,Huitzil ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-7459&lng=en,"Sociedad para el Estudio y Conservación de las Aves en México, A.C. (CIPAMEX)",current,não,1870-7459
59,Iheringia. Série Zoologia ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0073-4721&lng=en,Museu de Ciências Naturais,current,sim,0073-4721
60,International Journal of Morphology ,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-9502&lng=en,Sociedad Chilena de Anatomía,current,não,0717-9502
61,Investigación Clínica ,http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0535-5133&lng=en,Universidad del Zulia,current,não,0535-5133
62,InVet ,http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1668-3498&lng=en,"Facultad de Ciencias Veterinarias, Universidad de Buenos Aires",current,não,1668-3498
63,Journal of the Selva Andina Animal Science ,http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2311-2581&lng=en,Journal of the Selva Andina Animal Science.,current,não,2311-2581
64,Journal of the Selva Andina Biosphere ,http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2308-3859&lng=en,Journal of the Selva Andina Biosphere.,current,não,2308-3859
65,Journal of the Selva Andina Research Society ,http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2072-9294&lng=en,Ã“rgano oficial de la:,current,não,2072-9294
66,Journal of the South African Veterinary Association ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1019-9128&lng=en,South African Veterinary Association,current,não,1019-9128
67,Journal of Venomous Animals and Toxins including Tropical Diseases ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1678-9199&lng=en,Centro de Estudos de Venenos e Animais Peçonhentos,current,sim,1678-9199
68,Kasmera ,http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0075-5222&lng=en,Universidad del Zulia,current,não,0075-5222
69,Koedoe ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0075-6458&lng=en,South African National Parks (SANParks),current,não,0075-6458
70,Lankesteriana ,http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=1409-3871&lng=en,"Lankester Botanical Garden, University of Costa Rica",current,não,1409-3871
71,Latin american journal of aquatic research ,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-560X&lng=en,Pontificia Universidad Católica de Valparaíso. Facultad de Recursos Naturales. Escuela de Ciencias del Mar,current,não,0718-560X
72,Memórias do Instituto Oswaldo Cruz ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0074-0276&lng=en,"Instituto Oswaldo Cruz, Ministério da SaÃºde",current,sim,0074-0276
73,Mendive. Revista de Educación ,http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1815-7696&lng=en,Universidad de Pinar del Río Hermanos Saíz Montes de Oca,current,não,1815-7696
74,Multequina ,http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7329&lng=en,Dirección de Recursos Naturales Renovables de Mendoza,,não,1852-7329
75,Nauplius ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-6497&lng=en,Sociedade Brasileira de Carcinologia,current,sim,0104-6497
76,Neotropical Ichthyology ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1679-6225&lng=en,Sociedade Brasileira de Ictiologia,current,sim,1679-6225
77,Nova scientia ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-0705&lng=en,"Universidad de La Salle Bajío A. C., Coordinación de Investigación",current,não,2007-0705
78,Onderstepoort Journal of Veterinary Research ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0030-2465&lng=en,ARC-Onderstepoort Veterinary Institute - Agricultural Research Council,current,não,0030-2465
79,Papéis Avulsos de Zoologia ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0031-1049&lng=en,Museu de Zoologia da Universidade de São Paulo,current,sim,0031-1049
80,Persona y Bioética ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-3122&lng=en,Universidad de la Sabana,current,não,0123-3122
81,Podium. Revista de Ciencia y Tecnología en la Cultura Física ,http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1996-2452&lng=en,Universidad de Pinar del Río Hermanos Saíz Montes de Oca,current,não,1996-2452
82,Polibotánica ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-2768&lng=en,"Instituto Politécnico Nacional, Escuela Nacional de Ciencias Biológicas",current,não,1405-2768
83,Revista Ambiente & Ã_x0081_gua ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1980-993X&lng=en,Instituto de Pesquisas Ambientais em Bacias Hidrográficas,current,sim,1980-993X
84,Revista argentina de antropología biológica ,http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1514-7991&lng=en,Asociación de Antropología Biológica Argentina,current,não,1514-7991
85,Revista argentina de microbiología ,http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-7541&lng=en,Asociación Argentina de Microbiología,current,não,0325-7541
86,Revista bio ciencias ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-3380&lng=en,Universidad Autónoma de Nayarit,current,não,2007-3380
87,Revista Boliviana de Química ,http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=0250-5460&lng=en,Universidad Mayor de San Andrés,current,não,0250-5460
88,Revista Brasileira de Entomologia ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0085-5626&lng=en,Sociedade Brasileira De Entomologia,current,sim,0085-5626
89,Revista Brasileira de Parasitologia Veterinária ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1984-2961&lng=en,Colégio Brasileiro de Parasitologia Veterinária,current,sim,1984-2961
90,Revista Brasileira de Terapia Comportamental e Cognitiva ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1517-5545&lng=en,Associação Brasileira de Psicoterapia e Medicina Comportamental,current,sim,1517-5545
91,Revista Ceres ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0034-737X&lng=en,Universidade Federal de Viçosa,current,sim,0034-737X
92,Revista chilena de historia natural ,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0716-078X&lng=en,Sociedad de Biología de Chile,current,não,0716-078X
93,Revista Colombiana de Biotecnología ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-3475&lng=en,"Instituto de Biotecnología, Universidad Nacional de Colombia",current,não,0123-3475
94,Revista Colombiana de Entomología ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-0488&lng=en,Sociedad Colombiana de Entomología,current,não,0120-0488
95,Revista da SPAGESP ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1677-2970&lng=en,Sociedade de Psicoterapias Analíticas Grupais do Estado de São Paulo,current,sim,1677-2970
96,Revista de biología marina y oceanografía ,http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-1957&lng=en,Universidad de Valparaíso. Facultad de Ciencias del Mar,current,não,0718-1957
97,Revista de Biología Tropical ,http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=0034-7744&lng=en,Universidad de Costa Rica,current,não,0034-7744
98,Revista de Ciencias ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-1935&lng=en,Universidad del Valle,current,não,0121-1935
99,Revista de Ciencias Ambientales ,http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=2215-3896&lng=en,Universidad Nacional,current,não,2215-3896
100,Revista de Investigaciones Altoandinas ,http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=2313-2957&lng=en,Universidad Nacional del Altiplano,current,não,2313-2957
101,Revista de la Academia Colombiana de Ciencias Exactas Físicas y Naturales ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0370-3908&lng=en,"Academia Colombiana de Ciencias Exactas, Físicas y Naturales",current,não,0370-3908
102,Revista de la Sociedad Científica del Paraguay ,http://scielo.iics.una.py/scielo.php?script=sci_serial&pid=2617-4731&lng=en,Sociedad Científica del Paraguay,current,não,2617-4731
103,Revista de la Sociedad Entomológica Argentina ,http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0373-5680&lng=en,Sociedad Entomológica Argentina,current,não,0373-5680
104,Revista de la Sociedad Venezolana de Microbiología ,http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1315-2556&lng=en,Organo Oficial de la Sociedad Venezolana de Microbiología.,current,não,1315-2556
105,Revista de Protección Vegetal ,http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1010-2752&lng=en,Centro Nacional de Sanidad Agropecuaria,current,não,1010-2752
106,Revista de Salud Animal ,http://scielo.sld.cu/scielo.php?script=sci_serial&pid=0253-570X&lng=en,Centro Nacional de Sanidad Agropecuaria,current,não,0253-570X
107,Revista del Instituto Nacional de Higiene Rafael Rangel ,http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-0477&lng=en,Instituto Nacional de Higiene Rafael Rangel,current,não,0798-0477
108,Revista del Museo Argentino de  Ciencias Naturales ,http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-0400&lng=en,Museo Argentino de Ciencias Naturales Bernardino Rivadavia e Instituto Nacional de Investigación de las Ciencias Naturales,current,não,1853-0400
109,Revista do Instituto de Medicina Tropical de São Paulo ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0036-4665&lng=en,Instituto de Medicina Tropical,current,sim,0036-4665
110,Revista Ingeniería Biomédica ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1909-9762&lng=en,"Fondo Editorial EIA, Escuela de Ingeniería de Antioquia EIA-, Universidad CES",current,não,1909-9762
111,Revista Lasallista de Investigación ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1794-4449&lng=en,Corporación Universitaria Lasallista,current,não,1794-4449
112,Revista Latinoamericana de Bioética ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1657-4702&lng=en,Universidad Militar Nueva Granada,current,não,1657-4702
113,Revista Latinoamericana de Ciencias Sociales NiÃ±ez y Juventud ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1692-715X&lng=en,Centro de Estudios Avanzados en NiÃ±ez y Juventud Cinde - Universidad de Manizales,current,não,1692-715X
114,Revista mexicana de biodiversidad ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-3453&lng=en,Instituto de Biología,current,não,1870-3453
115,Revista mexicana de fitopatología ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-3309&lng=en,Sociedad Mexicana de Fitopatología A.C.,current,não,0185-3309
116,Revista Peruana de Biología ,http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=1727-9933&lng=en,Universidad Nacional Mayor de San Marcos. Facultad de Ciencias Biológicas,current,não,1727-9933
117,Revista Psicologia e SaÃºde ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=2177-093X&lng=en,"Universidade Católica Dom Bosco, Programa de Mestrado e Doutorado em Psicologia",current,sim,2177-093X
118,Revista U.D.C.A Actualidad & Divulgación Científica ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-4226&lng=en,Universidad de Ciencias Aplicadas y Ambientales,current,não,0123-4226
119,Rodriguésia ,http://www.scielo.br/scielo.php?script=sci_serial&pid=2175-7860&lng=en,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,current,sim,2175-7860
120,SA Orthopaedic Journal ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1681-150X&lng=en,Medpharm Publications,current,não,1681-150X
121,Saber ,http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1315-0162&lng=en,Universidad de Oriente,current,não,1315-0162
122,SAMJ: South African Medical Journal ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0256-9574&lng=en,Health and Medical Publishing Group,current,não,0256-9574
123,Scientia fungorum ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2594-1321&lng=en,"Instituto de Ecología, A.C.",current,não,2594-1321
124,South African Dental Journal ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0011-8516&lng=en,The South African Dental Association (SADA),current,não,0011-8516
125,South African Journal of Agricultural Extension ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0301-603X&lng=en,South African Society of Agricultural Extension (SASAE),current,não,0301-603X
126,South African Journal of Animal Science ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0375-1589&lng=en,The South African Society for Animal Science (SASAS),current,não,0375-1589
127,South African Journal of Occupational Therapy ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2310-3833&lng=en,The Occupational Therapy Association of South Africa,current,não,2310-3833
128,South African Journal of Science ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0038-2353&lng=en,Academy of Science of South Africa,current,não,0038-2353
129,Southern African Journal of HIV Medicine ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2078-6751&lng=en,Southern African HIV Clinicians Society,current,não,2078-6751
130,Temas em Psicologia ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1413-389X&lng=en,Sociedade Brasileira de Psicologia,current,sim,1413-389X
131,Tempo psicanalitico ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=0101-4838&lng=en,Sociedade de Psicanálise Iracy Doyle,current,sim,0101-4838
132,Therya ,http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-3364&lng=en,Asociación Mexicana de Mastozoología A. C.,current,não,2007-3364
133,TransFormaçÃµes em Psicologia (Online) ,http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=2176-106X&lng=en,"Universidade de São Paulo, Instituto de Psicologia",current,sim,2176-106X
134,Universitas Scientiarum ,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0122-7483&lng=en,Facultad de Ciencias de la Pontificia Universidad Javeriana de Bogotá.,current,não,0122-7483
135,Vaccimonitor ,http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1025-028X&lng=en,Finlay Ediciones,current,não,1025-028X
136,Water SA ,http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1816-7950&lng=en,Water Research Commission (WRC),current,não,1816-7950
137,Zoologia (Curitiba) ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1984-4670&lng=en,Sociedade Brasileira de Zoologia,current,sim,1984-4670
